SEQ,common_name,scientific_name,ADU,avibase_id,avilist_common_name,avilist_scientific_name,avilist_sort,avilist_members,ebird_code,checklist_family,order,birdlife_url,n_avilist_species,endemic,afrotropical,palearctic,waterbird,mass,habitat,habitat_density,migration,trophic_level,trophic_niche,primary_lifestyle,range_size,flag,comment,IUCN,old,new,lost,kept,gain,lost_score,gain_score
1,Ostrich,Struthio camelus,0,avibase-5D14080C,Common/Somali Ostrich,Struthio sp.,4,Struthio camelus|Struthio molybdophanes,ostric2|ostric3,"Ostriches",Struthioniformes,,2,0,0,0,0,111000,Shrubland,3,1,Herbivore,Omnivore,Terrestrial,8595319.06,"This species was re-introduced in Kisumu (60b)",,Vulnerable,60,48,17,43,5,16.5933782899079,4.76199249640845
2,Little Grebe,Tachybaptus ruficollis,6,avibase-215FEA89,Little Grebe,Tachybaptus ruficollis,1636,Tachybaptus ruficollis,litgre1,"Grebes",Podicipediformes,https://datazone.birdlife.org/species/factsheet/22696545,1,0,0,0,1,169.4,Wetland,3,1,Carnivore,Aquatic predator,Aquatic,36639881.74,,,Least Concern,63,52,22,41,11,21.3997735164847,10.376540630505
3,Black-necked Grebe,Podiceps nigricollis,5,avibase-32DCEC14,Black-necked Grebe,Podiceps nigricollis,1684,Podiceps nigricollis,eargre,"Grebes",Podicipediformes,https://datazone.birdlife.org/species/factsheet/22696610,1,0,0,0,1,412.4,Wetland,3,3,Carnivore,Aquatic predator,Aquatic,16435591.3,,,Least Concern,11,6,6,5,1,5.75865475929934,0.933845659889358
4,Great Crested Grebe,Podiceps cristatus,4,avibase-8F269702,Great Crested Grebe,Podiceps cristatus,1680,Podiceps cristatus,grcgre1,"Grebes",Podicipediformes,https://datazone.birdlife.org/species/factsheet/22696602,1,0,0,0,1,731,Wetland,3,1,Carnivore,Aquatic predator,Aquatic,19812770.45,,,Least Concern,11,10,9,2,8,8.45573859793212,7.44226190930233
5,Black-browed Albatross,Diomedea melanophris,8,avibase-F9FCB9FF,Black-browed Albatross,Thalassarche melanophris,4738,Thalassarche melanophris,bkbalb,"Albatrosses",Procellariiformes,,1,0,0,0,0,3202.9,Marine,3,2,Carnivore,Aquatic predator,Aquatic,109981594.81,"Seabird species maps are unreliable because they are strongly depend on effort",,Not Evaluated,1,5,0,1,4,0,3.69369337943174
6,Pintado Petrel,Daption capense,14,avibase-AAC2D613,Pintado Petrel,Daption capense,4818,Daption capense,cappet,"Petrels, Shearwaters, and Diving Petrels",Procellariiformes,https://datazone.birdlife.org/species/factsheet/22697879,1,0,0,0,0,429.6,Marine,3,2,Carnivore,Aquatic predator,Generalist,136304432.2,"Seabird species maps are unreliable because they are strongly depend on effort",,Least Concern,1,23,1,0,23,0.921644189967706,21.9872961197101
8,Jouanin's Petrel,Bulweria fallax,1011,avibase-F501ED18,Jouanin's Petrel,Bulweria fallax,4833,Bulweria fallax,joupet,"Petrels, Shearwaters, and Diving Petrels",Procellariiformes,https://datazone.birdlife.org/species/factsheet/22698136,1,0,0,0,0,173,Marine,3,2,Carnivore,Aquatic predator,Aquatic,8090659.18,"Species not recorded during both the old and new atlas, but recorded in Kenya. Seabird species maps are unreliable because they are strongly depend on effort",,Near Threatened,0,11,0,0,11,0,10.2849409131836
9,Wedge-tailed Shearwater,Puffinus pacificus,180,avibase-E94A7272,Wedge-tailed Shearwater,Ardenna pacifica,4853,Ardenna pacifica,wetshe,"Petrels, Shearwaters, and Diving Petrels",Procellariiformes,https://datazone.birdlife.org/species/factsheet/22698175,1,0,0,0,0,388,Marine,3,3,Carnivore,Aquatic predator,Generalist,119963361.1,"Seabird species maps are unreliable because they are strongly depend on effort",,Least Concern,1,11,1,0,11,0.945810117112581,10.3411071616699
10,Audubon's Shearwater,Puffinus lherminieri,0,avibase-CA3D6C51,Sargasso/Persian/Tropical Shearwater,Puffinus sp.,4871,Puffinus lherminieri|Puffinus persicus|Puffinus bailloni,audshe|pershe1|troshe5,"Petrels, Shearwaters, and Diving Petrels",Procellariiformes,,3,0,0,0,0,214,Marine,3,2,Carnivore,Aquatic predator,Aquatic,45969798.08,"Seabird species maps are unreliable because they are strongly depend on effort","Historical lump of 3 species, treated as one taxon (Puffinus lherminieri) in the 1970-1984 atlas: Sargasso Shearwater (Puffinus lherminieri, 0 Kenyan eBird records 2009-2023); Persian Shearwater (Puffinus persicus, 18 Kenyan eBird records 2009-2023); Tropical Shearwater (Puffinus bailloni, 1 Kenyan eBird records 2009-2023). At least one member was already a distinct, field-separable species during the atlas era; old-atlas records for this concept may include unseparated or misidentified individuals of either.",Least Concern,3,3,2,1,2,1.87403814672881,1.86647232745212
11,Wilson's Storm Petrel,Oceanites oceanicus,33,avibase-D295D249,Wilson's Storm Petrel,Oceanites oceanicus,4751,Oceanites oceanicus,wispet,"Southern Storm Petrels",Procellariiformes,https://datazone.birdlife.org/species/factsheet/22698436,1,0,0,0,0,30.4,Marine,3,3,Carnivore,Aquatic predator,Aerial,28528.95,"Seabird species maps are unreliable because they are strongly depend on effort",,Least Concern,5,10,5,0,10,4.78417717680825,9.27863294958966
